id,identifier,category_id,cost,fling_power,fling_effect_id,name,short_effect,effect
46,protein,26,10000,30,,Protein,Raises Attack effort and happiness.,"Used on a party Pokémon
:   Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
47,iron,26,10000,30,,Iron,Raises Defense effort and happiness.,"Used on a party Pokémon
:   Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
48,carbos,26,10000,30,,Carbos,Raises Speed effort and happiness.,"Used on a party Pokémon
:   Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
49,calcium,26,10000,30,,Calcium,Raises Special Attack effort and happiness.,"Used on a party Pokémon
:   Increases [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
50,rare-candy,26,10000,30,,Rare Candy,Causes a level-up and raises happiness.,"Used on a party Pokémon
:   Increases level by 1.  Increases [happiness]{mechanic:happiness} by 5/3/2."
51,pp-up,26,10000,30,,PP Up,Raises a move's max PP by 20%.,"Used on a party Pokémon
:   Increases a selected move's max [PP]{mechanic:pp} by 20% its original max PP, to a maximum of 1.6×.  Increases [happiness]{mechanic:happiness} by 5/3/2."
52,zinc,26,10000,30,,Zinc,Raises Special Defense and happiness.,"Used on a party Pokémon
:   Increases [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 10, but won't increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
53,pp-max,26,10000,30,,PP Max,Raises a move's max PP by 60%.,"Used on a party Pokémon
:   Increases a selected move's max [PP]{mechanic:pp} to 1.6× its original max PP.  Increases [happiness]{mechanic:happiness} by 5/3/2."
54,old-gateau,30,350,30,,Old Gateau,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
55,guard-spec,1,1500,30,,Guard Spec.,Prevents stat changes in battle for five turns in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   Protects the target's stats from being [lowered]{mechanic:lower} for the next five turns.  Increases happiness by 1/1/0."
56,dire-hit,1,1000,30,,Dire Hit,Increases the chance of a critical hit in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   Increases the target's [critical hit chance]{mechanic:critical-hit-chance} by one stage until it leaves the field.  Increases happiness by 1/1/0."
57,x-attack,1,1000,30,,X Attack,Raises Attack by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Attack]{mechanic:attack} by one stage.  Increases happiness by 1/1/0."
58,x-defense,1,2000,30,,X Defense,Raises Defense by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Defense]{mechanic:defense} by one stage.  Increases happiness by 1/1/0."
59,x-speed,1,1000,30,,X Speed,Raises Speed by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Speed]{mechanic:speed} by one stage.  Increases happiness by 1/1/0."
60,x-accuracy,1,1000,30,,X Accuracy,Raises accuracy by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [accuracy]{mechanic:accuracy} by one stage.  Increases happiness by 1/1/0."
61,x-sp-atk,1,1000,30,,X Sp. Atk,Raises Special Attack by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Special Attack]{mechanic:special-attack} by one stage.  Increases happiness by 1/1/0."
62,x-sp-def,1,2000,30,,X Sp. Def,Raises Special Defense by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target's [Special Defense]{mechanic:special-defense} by one stage.  Increases happiness by 1/1/0."
63,poke-doll,11,300,30,,Poké Doll,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
64,fluffy-tail,11,100,30,,Fluffy Tail,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
65,blue-flute,38,20,30,,Blue Flute,Cures sleep.,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
66,yellow-flute,38,20,30,,Yellow Flute,Cures confusion.,"Used on a party Pokémon in battle
:   Cures [confusion]{mechanic:confusion}."
67,red-flute,38,20,30,,Red Flute,Cures attraction.,"Used on a party Pokémon in battle
:   Cures [attraction]{mechanic:attraction}."
68,black-flute,11,20,30,,Black Flute,Halves the wild Pokémon encounter rate.,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%."
69,white-flute,11,20,30,,White Flute,Doubles the wild Pokémon encounter rate.,"Used outside of battle
:   Doubles the wild Pokémon encounter rate."
70,shoal-salt,9,20,30,,Shoal Salt,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.,No effect.
71,shoal-shell,9,20,30,,Shoal Shell,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.,No effect.
72,red-shard,9,1000,30,,Red Shard,No effect. Can be traded for items or moves.,"No effect.

In Diamond and Pearl, trade ten for a []{move:sunny-day} [TM]{item:tm11} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a []{item:cheri-berry}, a []{item:leppa-berry}, and a []{item:pecha-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:persim-berry}, a []{item:pomeg-berry}, and a []{item:razz-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
73,blue-shard,9,1000,30,,Blue Shard,No effect. Can be traded for items or moves.,"No effect.

In Diamond and Pearl, trade ten for a []{move:rain-dance} [TM]{item:tm18} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a []{item:chesto-berry}, an []{item:oran-berry}, and a []{item:wiki-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:bluk-berry}, a []{item:cornn-berry}, and a []{item:kelpsy-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
74,yellow-shard,9,1000,30,,Yellow Shard,No effect. Can be traded for items or moves.,"No effect.

In Diamond and Pearl, trade ten for a []{move:sandstorm} [TM]{item:tm37} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an []{item:aspear-berry}, a []{item:iapapa-berry}, and a []{item:sitrus-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:grepa-berry}, a []{item:nomel-berry}, and a []{item:pinap-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
75,green-shard,9,1000,30,,Green Shard,No effect. Can be traded for items or moves.,"No effect.

In Diamond and Pearl, trade ten for a []{move:hail} [TM]{item:tm07} in the house midway along the southern section of []{location:sinnoh-route-212}.

In Platinum, trade to [move tutors]{mechanic:move-tutor} on []{location:sinnoh-route-212}, in []{location:snowpoint-city}, and in the []{location:survival-area}.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an []{item:aguav-berry}, a []{item:lum-berry}, and a []{item:rawst-berry} with the Juggler near the Pokémon Center in []{location:violet-city}.

In HeartGold and SoulSilver, trade one for a []{item:durin-berry}, a []{item:hondew-berry}, and a []{item:wepear-berry} with the Juggler near the []{location:pal-park} entrance in []{location:fuchsia-city}."
76,super-repel,11,700,30,,Super Repel,"For 200 steps, prevents wild encounters of level lower than your party's lead Pokémon.","Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 200 steps."
77,max-repel,11,900,30,,Max Repel,"For 250 steps, prevents wild encounters of level lower than your party's lead Pokémon.","Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 250 steps."
78,escape-rope,11,300,30,,Escape Rope,Transports user to the outside entrance of a cave.,"Used outside of battle
:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in []{location:distortion-world}, []{location:sinnoh-hall-of-origin-1}, []{location:spear-pillar}, or []{location:turnback-cave}."
79,repel,11,400,30,,Repel,"For 100 steps, prevents wild encounters of level lower than your party's lead Pokémon.","Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 100 steps."
80,sun-stone,10,3000,30,,Sun Stone,"Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora.","Used on a party Pokémon
:   Evolves a []{pokemon:cottonee} into []{pokemon:whimsicott}, a []{pokemon:gloom} into []{pokemon:bellossom}, a []{pokemon:petilil} into []{pokemon:lilligant}, or a []{pokemon:sunkern} into []{pokemon:sunflora}."
81,moon-stone,10,3000,30,,Moon Stone,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty.","Used on a party Pokémon
:   Evolves a []{pokemon:clefairy} into []{pokemon:clefable}, a []{pokemon:jigglypuff} into []{pokemon:wigglytuff}, a []{pokemon:munna} into []{pokemon:musharna}, a []{pokemon:nidorina} into []{pokemon:nidoqueen}, a []{pokemon:nidorino} into []{pokemon:nidoking}, or a []{pokemon:skitty} into []{pokemon:delcatty}."
82,fire-stone,10,3000,30,,Fire Stone,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales.","Used on a party Pokémon
:   Evolves an []{pokemon:eevee} into []{pokemon:flareon}, a []{pokemon:growlithe} into []{pokemon:arcanine}, a []{pokemon:pansear} into []{pokemon:simisear}, or a []{pokemon:vulpix} into []{pokemon:ninetales}."
83,thunder-stone,10,3000,30,,Thunder Stone,"Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu.","Used on a party Pokémon
:   Evolves an []{pokemon:eelektrik} into []{pokemon:eelektross}, an []{pokemon:eevee} into []{pokemon:jolteon}, or a []{pokemon:pikachu} into []{pokemon:raichu}."
84,water-stone,10,3000,30,,Water Stone,"Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie.","Used on a party Pokémon
:   Evolves an []{pokemon:eevee} into []{pokemon:vaporeon}, a []{pokemon:lombre} into []{pokemon:ludicolo}, a []{pokemon:panpour} into []{pokemon:simipour}, a []{pokemon:poliwhirl} into []{pokemon:poliwrath}, a []{pokemon:shellder} into []{pokemon:cloyster}, or a []{pokemon:staryu} into []{pokemon:starmie}."
85,leaf-stone,10,3000,30,,Leaf Stone,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.","Used on a party Pokémon
:   Evolves an []{pokemon:exeggcute} into []{pokemon:exeggutor}, a []{pokemon:gloom} into []{pokemon:vileplume}, a []{pokemon:nuzleaf} into []{pokemon:shiftry}, a []{pokemon:pansage} into []{pokemon:simisage}, or a []{pokemon:weepinbell} into []{pokemon:victreebel}."
86,tiny-mushroom,24,500,30,,Tiny Mushroom,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars.",Vendor trash.
87,big-mushroom,24,5000,30,,Big Mushroom,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.",Vendor trash.
88,pearl,24,2000,30,,Pearl,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars.",Vendor trash.
89,big-pearl,24,8000,30,,Big Pearl,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.",Vendor trash.
90,stardust,24,3000,30,,Stardust,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars.",Vendor trash.
91,star-piece,24,12000,30,,Star Piece,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars.",Vendor trash.
92,nugget,24,10000,30,,Nugget,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars.",Vendor trash.
93,heart-scale,9,100,30,,Heart Scale,No effect. Can be traded for prior Level-up moves.,Trade one to the Move Relearner near the shore in []{location:pastoria-city} or with the Move Deleter in []{location:blackthorn-city} to teach one party Pokémon a prior level-up move.
94,honey,35,900,30,,Honey,,"Used outside of battle
:   Immediately triggers a wild Pokémon battle, as long as the trainer is somewhere with wild Pokémon—i.e., in tall grass, in a cave, or surfing.

Can be smeared on sweet-smelling trees to attract tree-dwelling Pokémon after six hours."
95,growth-mulch,32,200,30,,Growth Mulch,"Growing time of berries is reduced, but the soil dries out faster.","Used on a patch of soil
:   Plant's growth stages will each last 25% less time.  Dries soil out more quickly."
96,damp-mulch,32,200,30,,Damp Mulch,"Growing time of berries is increased, but the soil dries out slower.","Used on a patch of soil
:   Plant's growth stages will each last 25% more time.  Dries soil out more slowly."
97,stable-mulch,32,200,30,,Stable Mulch,Berries stay on the plant for longer than their usual time.,"Used on a patch of soil
:   Fully-grown plant will last 25% longer before dying and possibly regrowing."
98,gooey-mulch,32,200,30,,Gooey Mulch,Berries regrow from dead plants an increased number of times.,"Used on a path of soil
:   Plant will regrow after dying 25% more times."
99,root-fossil,35,7000,100,,Root Fossil,Can be revived into a Lileep.,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:lileep}.
100,claw-fossil,35,7000,100,,Claw Fossil,Can be revived into an Anorith.,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:anorith}.
101,helix-fossil,35,7000,100,,Helix Fossil,Can be revived into an Omanyte.,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:omanyte}.
102,dome-fossil,35,7000,100,,Dome Fossil,Can be revived into a Kabuto.,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:kabuto}.
103,old-amber,35,10000,100,,Old Amber,Can be revived into an Aerodactyl.,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:aerodactyl}.
104,armor-fossil,35,7000,100,,Armor Fossil,Can be revived into a Shieldon.,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:shieldon}.
105,skull-fossil,35,7000,100,,Skull Fossil,Can be revived into a Cranidos.,Give to a scientist in the []{location:mining-museum} in []{location:oreburgh-city} or the Museum of Science in []{location:pewter-city} to receive a []{pokemon:cranidos}.
106,rare-bone,24,5000,100,,Rare Bone,"Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars.",Vendor trash.
107,shiny-stone,10,3000,80,,Shiny Stone,"Evolves a Minccino into Cinccino, a Roselia into Roserade, or a Togetic into Togekiss.","Used on a party Pokémon
:   Evolves a []{pokemon:minccino} into []{pokemon:cinccino}, a []{pokemon:roselia} into []{pokemon:roserade}, or a []{pokemon:togetic} into []{pokemon:togekiss}."
108,dusk-stone,10,3000,80,,Dusk Stone,"Evolves a Lampent into Chandelure, a Misdreavus into Mismagius, or a Murkrow into Honchkrow.","Used on a party Pokémon
:   Evolves a []{pokemon:lampent} into []{pokemon:chandelure}, a []{pokemon:misdreavus} into []{pokemon:mismagius}, or a []{pokemon:murkrow} into []{pokemon:honchkrow}."
109,dawn-stone,10,3000,80,,Dawn Stone,Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.,"Used on a party Pokémon
:   Evolves a male []{pokemon:kirlia} into []{pokemon:gallade} or a female []{pokemon:snorunt} into []{pokemon:froslass}."
110,oval-stone,10,2000,80,,Oval Stone,Level-up during Day on a Happiny: Holder evolves into Chansey.,"Held by []{pokemon:happiny}
:   Holder evolves into []{pokemon:chansey} when it levels up during the daytime."
111,odd-keystone,35,2100,80,,Odd Keystone,Use on the tower on Route 209 to encounter Spiritomb if you have at least 32 Underground greetings.,"Place in the tower on []{location:sinnoh-route-209}.  Check the stone to encounter a []{pokemon:spiritomb}, as long as the trainer's Underground status card counts at least 32 greetings."
112,adamant-orb,18,0,60,,Adamant Orb,Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.,"Held by []{pokemon:dialga}
:   Holder's []{type:dragon}- and []{type:steel}-type moves have 1.2× their usual power."
113,lustrous-orb,18,0,60,,Lustrous Orb,Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.,"Held by []{pokemon:palkia}
:   Holder's []{type:dragon}- and []{type:water}-type moves have 1.2× their usual power."
114,grass-mail,25,50,,,Grass Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
